domain,company_name,company_linkedin,website,employees,employee_range,year_founded,company_type,industry,hq_city,hq_region,hq_country,description,campaign,config_slug,sourcing_reasoning
phillipsmedisize.com,Phillips Medisize,https://www.linkedin.com/company/phillips-medisize,https://www.phillipsmedisize.com,2887,5001-10000,1964,PRIVATELY_HELD,medical equipment manufacturing,-,-,-,"As a contract development and manufacturing organization (CDMO), the world’s leading pharmaceutical, medtech and in vitro diagnostic companies trust us to help them design and manufacture their products.  With our dedicated team of 6,000+ employees and 30 development and manufacturing sites across three continents, we put the patient at the center of all we do, knowing that every decision is critical to a healthcare provider and their patients somewhere in the world.  Phillips Medisize is an Aff","New Leader, Old Portfolio",new-leader-old-portfolio-4b,"Matched AI Ark lookalike-company search (lookalikeDomains seeded with 3 known PE-backed medtech CDMO/manufacturing roll-up platforms: Cirtec Medical, Viant Medical, Integer Holdings), filtered post-hoc to 100-5000 employees as a proxy for the $100M-$1B revenue band. This confirms 'similar business model to a known PE-backed medtech manufacturing/roll-up platform' — it does NOT verify actual PE ownership or that this specific company has itself absorbed 2+ acquisitions without consolidating brands; both require a per-company ownership/M&A-history check (PitchBook or deal-news search) before treating as qualified. This is segment 4(b) specifically (PE-backed roll-up platforms, $100M-$1B) — distinct from 4(a) already sourced via Blitz."
heraeus.com,Heraeus Medevio,https://www.linkedin.com/company/heraeus-medevio,https://bit.ly/heraeusmedevio,1097,1001-5000,-,PRIVATELY_HELD,medical equipment manufacturing,-,-,-,"At Heraeus Medevio, we improve lives by serving our customers to bring better medical devices to market, faster. The expertise and precision we bring to our products and processes can’t always be seen. But it can be felt. It can be trusted. By our partners and the patients who rely on them for lifesaving and life-changing medical devices.    As a full-service contract design, development, and manufacturing partner to medical device companies worldwide, we serve as an extension of their teams, su","New Leader, Old Portfolio",new-leader-old-portfolio-4b,"Matched AI Ark lookalike-company search (lookalikeDomains seeded with 3 known PE-backed medtech CDMO/manufacturing roll-up platforms: Cirtec Medical, Viant Medical, Integer Holdings), filtered post-hoc to 100-5000 employees as a proxy for the $100M-$1B revenue band. This confirms 'similar business model to a known PE-backed medtech manufacturing/roll-up platform' — it does NOT verify actual PE ownership or that this specific company has itself absorbed 2+ acquisitions without consolidating brands; both require a per-company ownership/M&A-history check (PitchBook or deal-news search) before treating as qualified. This is segment 4(b) specifically (PE-backed roll-up platforms, $100M-$1B) — distinct from 4(a) already sourced via Blitz."
cretexmedical.com,Cretex Medical,https://www.linkedin.com/company/cretexmedical,http://www.cretexmedical.com,1045,1001-5000,-,PRIVATELY_HELD,medical equipment manufacturing,-,-,-,Cretex Medical offers comprehensive medical device manufacturing and engineering services to help our customers mitigate risk and streamline their processes.  Our diverse range of capabilities includes: - Metal and plastic machining - Additive manufacturing - Plastic injection molding - Precision metal stamping  - Design and manufacturing of sterilization cases & trays - Custom instrument manufacturing - Laser processing - Laser micro-machining and assembly - Finished device assembly - Sterile p,"New Leader, Old Portfolio",new-leader-old-portfolio-4b,"Matched AI Ark lookalike-company search (lookalikeDomains seeded with 3 known PE-backed medtech CDMO/manufacturing roll-up platforms: Cirtec Medical, Viant Medical, Integer Holdings), filtered post-hoc to 100-5000 employees as a proxy for the $100M-$1B revenue band. This confirms 'similar business model to a known PE-backed medtech manufacturing/roll-up platform' — it does NOT verify actual PE ownership or that this specific company has itself absorbed 2+ acquisitions without consolidating brands; both require a per-company ownership/M&A-history check (PitchBook or deal-news search) before treating as qualified. This is segment 4(b) specifically (PE-backed roll-up platforms, $100M-$1B) — distinct from 4(a) already sourced via Blitz."
nextern.com,Nextern,https://www.linkedin.com/company/nextern-inc-,https://www.nextern.com?source=linkedin,406,501-1000,2000,PRIVATELY_HELD,medical equipment manufacturing,-,-,-,"Nextern collaborates with innovators, clinicians, and device partners to create, iterate, optimize and manufacture best-in-class medical devices. We bring an unmatched core competence in medical device product design and development through manufacturing as a leverageable asset to collaborators like you, who are focused on accelerating the commercial side of the business.​  At Nextern, we inspire with passion, impact with significance, and act with integrity.","New Leader, Old Portfolio",new-leader-old-portfolio-4b,"Matched AI Ark lookalike-company search (lookalikeDomains seeded with 3 known PE-backed medtech CDMO/manufacturing roll-up platforms: Cirtec Medical, Viant Medical, Integer Holdings), filtered post-hoc to 100-5000 employees as a proxy for the $100M-$1B revenue band. This confirms 'similar business model to a known PE-backed medtech manufacturing/roll-up platform' — it does NOT verify actual PE ownership or that this specific company has itself absorbed 2+ acquisitions without consolidating brands; both require a per-company ownership/M&A-history check (PitchBook or deal-news search) before treating as qualified. This is segment 4(b) specifically (PE-backed roll-up platforms, $100M-$1B) — distinct from 4(a) already sourced via Blitz."
paragonmedical.com,Paragon Medical,https://www.linkedin.com/company/paragonmedical,https://www.paragonmedical.com,845,1001-5000,1991,PUBLIC_COMPANY,medical equipment manufacturing,-,-,-,"Paragon Medical is a global medical device contract design and manufacturer specializing in high-precision components and full devices. Our capabilities span implants, surgical instruments, and cases and trays across a wide range of MedTech markets. You can count on Paragon Medical as your strategic partner in medical device manufacturing, offering an end-to-end supply chain solution from early design and development through verification, validation, and commercial production.   As part of AMETE","New Leader, Old Portfolio",new-leader-old-portfolio-4b,"Matched AI Ark lookalike-company search (lookalikeDomains seeded with 3 known PE-backed medtech CDMO/manufacturing roll-up platforms: Cirtec Medical, Viant Medical, Integer Holdings), filtered post-hoc to 100-5000 employees as a proxy for the $100M-$1B revenue band. This confirms 'similar business model to a known PE-backed medtech manufacturing/roll-up platform' — it does NOT verify actual PE ownership or that this specific company has itself absorbed 2+ acquisitions without consolidating brands; both require a per-company ownership/M&A-history check (PitchBook or deal-news search) before treating as qualified. This is segment 4(b) specifically (PE-backed roll-up platforms, $100M-$1B) — distinct from 4(a) already sourced via Blitz."
smcltd.com,SMC Ltd,https://www.linkedin.com/company/smc-ltd,http://www.smcltd.com,1770,501-1000,1988,PRIVATELY_HELD,medical equipment manufacturing,-,-,-,"SMC Ltd. offers global solutions, contract manufacturing and molding services for the medical device, diagnostics, and pharmaceutical industries. Services include design, engineering, thermoplastic molding including insert, two-shot and micro, liquid silicone injection molding (LIM) and complete device assembly. Project integration, supply chain management, validation, packaging and labeling, and sterilization responsibility are systematically controlled. Facilities offer ISO 13485, quality syst","New Leader, Old Portfolio",new-leader-old-portfolio-4b,"Matched AI Ark lookalike-company search (lookalikeDomains seeded with 3 known PE-backed medtech CDMO/manufacturing roll-up platforms: Cirtec Medical, Viant Medical, Integer Holdings), filtered post-hoc to 100-5000 employees as a proxy for the $100M-$1B revenue band. This confirms 'similar business model to a known PE-backed medtech manufacturing/roll-up platform' — it does NOT verify actual PE ownership or that this specific company has itself absorbed 2+ acquisitions without consolidating brands; both require a per-company ownership/M&A-history check (PitchBook or deal-news search) before treating as qualified. This is segment 4(b) specifically (PE-backed roll-up platforms, $100M-$1B) — distinct from 4(a) already sourced via Blitz."
sterlingindustries.com,Sterling Industries,https://www.linkedin.com/company/sterlingindustries,http://www.sterlingindustries.com,100,51-200,1983,PRIVATELY_HELD,medical equipment manufacturing,-,-,-,"Sterling Industries is a vertically integrated contract manufacturer of medical devices and medical device components with facilities in both the US and Canada.  We help companies — from Fortune 100 to mid-size to start-up — scale from launch to full production (whether it be from thousands to millions of units), with consistent and immaculate quality, process and compliance.  We offer a repeatable design transfer process, design-for-manufacturing expertise, regulatory compliance and supply chai","New Leader, Old Portfolio",new-leader-old-portfolio-4b,"Matched AI Ark lookalike-company search (lookalikeDomains seeded with 3 known PE-backed medtech CDMO/manufacturing roll-up platforms: Cirtec Medical, Viant Medical, Integer Holdings), filtered post-hoc to 100-5000 employees as a proxy for the $100M-$1B revenue band. This confirms 'similar business model to a known PE-backed medtech manufacturing/roll-up platform' — it does NOT verify actual PE ownership or that this specific company has itself absorbed 2+ acquisitions without consolidating brands; both require a per-company ownership/M&A-history check (PitchBook or deal-news search) before treating as qualified. This is segment 4(b) specifically (PE-backed roll-up platforms, $100M-$1B) — distinct from 4(a) already sourced via Blitz."
quasarmedical.com,Quasar Medical | Medical Device Manufacturer,https://www.linkedin.com/company/quasar-medical-manufacturing,http://www.quasarmedical.com,303,1001-5000,1988,PRIVATELY_HELD,medical equipment manufacturing,-,-,-,"Quasar Medical is a global Contract Development and Manufacturing Organization (CDMO) delivering end-to-end solutions for interventional and minimally invasive medical devices. With 11 global facilities and over 4,300 employees across Asia, North America, and Europe, Quasar specializes in catheter systems, balloon technologies, micro-EM sensors, and complex assemblies, delivering cost-effective scalability and unmatched speed to market. Headquartered in Singapore, the company provides fully inte","New Leader, Old Portfolio",new-leader-old-portfolio-4b,"Matched AI Ark lookalike-company search (lookalikeDomains seeded with 3 known PE-backed medtech CDMO/manufacturing roll-up platforms: Cirtec Medical, Viant Medical, Integer Holdings), filtered post-hoc to 100-5000 employees as a proxy for the $100M-$1B revenue band. This confirms 'similar business model to a known PE-backed medtech manufacturing/roll-up platform' — it does NOT verify actual PE ownership or that this specific company has itself absorbed 2+ acquisitions without consolidating brands; both require a per-company ownership/M&A-history check (PitchBook or deal-news search) before treating as qualified. This is segment 4(b) specifically (PE-backed roll-up platforms, $100M-$1B) — distinct from 4(a) already sourced via Blitz."
gilero.com,"Gilero, A Sanner Group Company",https://www.linkedin.com/company/gilero,https://www.gilero.com,148,51-200,2002,PRIVATELY_HELD,medical equipment manufacturing,-,-,-,"Gilero offers end-to-end device design, development and contract manufacturing in the medical and pharmaceutical industries.  Specializing in the areas of consumable and reusable medical devices, drug delivery, combination products and complex electromechanical systems, Gilero offers a wide range of services to meet your medical or drug delivery device needs.","New Leader, Old Portfolio",new-leader-old-portfolio-4b,"Matched AI Ark lookalike-company search (lookalikeDomains seeded with 3 known PE-backed medtech CDMO/manufacturing roll-up platforms: Cirtec Medical, Viant Medical, Integer Holdings), filtered post-hoc to 100-5000 employees as a proxy for the $100M-$1B revenue band. This confirms 'similar business model to a known PE-backed medtech manufacturing/roll-up platform' — it does NOT verify actual PE ownership or that this specific company has itself absorbed 2+ acquisitions without consolidating brands; both require a per-company ownership/M&A-history check (PitchBook or deal-news search) before treating as qualified. This is segment 4(b) specifically (PE-backed roll-up platforms, $100M-$1B) — distinct from 4(a) already sourced via Blitz."
bllifesciences.com,BL Lifesciences,https://www.linkedin.com/company/bl-lifesciences,http://www.bllifesciences.com,190,201-500,1984,PRIVATELY_HELD,medical equipment manufacturing,-,-,-,"BL Lifesciences is a leading medical device manufacturer and distributor dedicated to providing innovative products across the medical sciences. As part of the nearly 80-year-old BL group of family companies, we have decades of experience in all manner of medical device manufacturing and distribution. With headquarters in New Delhi, India, and 11 offices across the country, as well as an international office in Singapore, we focus on providing leading quality devices and equipment while cultivat","New Leader, Old Portfolio",new-leader-old-portfolio-4b,"Matched AI Ark lookalike-company search (lookalikeDomains seeded with 3 known PE-backed medtech CDMO/manufacturing roll-up platforms: Cirtec Medical, Viant Medical, Integer Holdings), filtered post-hoc to 100-5000 employees as a proxy for the $100M-$1B revenue band. This confirms 'similar business model to a known PE-backed medtech manufacturing/roll-up platform' — it does NOT verify actual PE ownership or that this specific company has itself absorbed 2+ acquisitions without consolidating brands; both require a per-company ownership/M&A-history check (PitchBook or deal-news search) before treating as qualified. This is segment 4(b) specifically (PE-backed roll-up platforms, $100M-$1B) — distinct from 4(a) already sourced via Blitz."
