sample_id,company,client_group,client_verdict,client_revenue_est,v1_verdict,v1_reason,v2_verdict,v2_confidence,v2_reason,v2_evidence,v1_outcome,v2_outcome
1,Sugino,Machine Tools & Fabrication Machinery,Yes,$200M-$400M (est.),NEAR,Manufactures complex drilling/tapping/deburring equipment with 50+ parts. Revenue unclear: conflicting reports ($5-10M vs $182M); conservative estimate ~$50-100M.,NEAR,high,"Precision cutting, deburring, CNC machining with product catalogue; revenue $23.5M below $100M threshold.",https://www.owler.com/company/suginocorp,wrong_tier,wrong_tier
2,"SPINNER North America, LLC",Machine Tools & Fabrication Machinery,Yes,$100M-$200M (est.),NO,"Distributor/reseller of German CNC machines, not manufacturer. Explicitly excluded category.",NEAR,high,National arm of German CNC manufacturer SPINNER; passes core test; parent revenue ~$33M below $100M.,https://www.machinetools.com/en/companies/155434-spinner-north-america-llc,hard_miss,wrong_tier
3,"Kaeser Compressors, Inc.",Machine Tools & Fabrication Machinery,Yes,"$1.5B+ (est., parent)",YES,"Manufactures complex compressed air systems ($1.9B revenue). Multiple product lines, 50+ configurable parts, 200+ SKUs, dealer distribution.",YES,high,Manufactures compressors and equipment with extensive product catalogue; global parent revenue >$500M.,https://www.owler.com/company/kaeser,exact,exact
4,OnLogic,"Automation, Robotics & Material Handling",Yes,$100M-$500M (est.),NO,Manufactures industrial computers via direct-to-customer model. Not complex manufacturing equipment; component-based systems fail core test.,NO,high,Custom-configurable industrial computers; does not demonstrate 200+ SKU catalogue; revenue not disclosed.,https://www.onlogic.com/,hard_miss,hard_miss
5,Makino Inc.,Machine Tools & Fabrication Machinery,Yes,"$1.5B (parent, est.)",YES,"CNC machine tool manufacturer ($1.73B revenue). Complex machines with 50+ parts, 200+ SKUs across product lines, dealer/direct sales.",YES,high,"CNC machining centres, EDM, grinders with deep product line; revenue $1.73B exceeds $100M.",https://www.makino.com/en-us/,exact,exact
6,Vention,"Automation, Robotics & Material Handling",Near-ICP,$50M-$100M (est.),NO,"Modular automation platform/component supplier (~$60-100M ARR), not equipment manufacturer. Sells components, not finished complex equipment.",NEAR,high,Modular automation hardware and components manufacturer; revenue $60M below $100M threshold.,https://www.owler.com/company/vention,hard_miss,exact
7,Bahco Bandsaw,"Cutting Tools, Tooling & Workholding",Yes,"$4.7B (Snap-on parent, 2024)",NO,"Tool/consumable manufacturer (bandsaw blades), part of Snap-on. Excluded category; not industrial equipment manufacturer.",NEAR,high,Cutting tools and bandsaw blades for industrial use; revenue $100K-$5M well below $100M.,https://www.owler.com/company/bahco,hard_miss,wrong_tier
8,TiMOTION USA Inc.,"Automation, Robotics & Material Handling",Yes,$100M-$200M (est.),NEAR,"Manufactures linear actuators/lift systems ($543M revenue). YES on revenue, but actuators are components, not complete industrial equipment. Borderline on core test.",NEAR,medium,Linear actuators and motion components manufacturer; global parent revenue not clearly disclosed; likely under $100M.,https://www.timotion.com/en,wrong_tier,wrong_tier
9,Fives Landis Ltd.,Machine Tools & Fabrication Machinery,Yes,"$2.5B (Fives Group, est.)",YES,"Grinding machine manufacturer, division of Fives Group (€2.6B). Complex equipment, 50+ parts per machine, multiple models, dealer sales. Passes all criteria.",YES,high,Grinding machines manufacturer with 120+ years expertise; parent Fives Group revenue $2.6B exceeds $100M.,https://www.owler.com/company/fivesgroup,exact,exact
10,"WENZEL America, Ltd.",Metrology & Inspection,Yes,$100M-$150M (est.),NO,"CMM/metrology equipment manufacturer, but WENZEL Group revenue only $59.9M. Fails revenue threshold ($100M+).",NEAR,high,CMM and metrology instruments; parent WENZEL Group revenue $59.9M-$62.1M below $100M.,https://www.wenzelamerica.com/,hard_miss,wrong_tier
11,"Erwin Junker Machinery, Inc.",Machine Tools & Fabrication Machinery,Yes,$300M-$500M (est.),YES,"Grinding machine manufacturer, JUNKER Group (~$300M revenue). Complex machines, 50+ parts, multiple types, dealer distribution. Passes all criteria.",YES,high,Grinding machines manufacturer; parent JUNKER Group market leader with revenue $250-500M exceeds $100M.,https://www.junker-group.com/,exact,exact
12,Krauss-Maffei Corporation,Machine Tools & Fabrication Machinery,Yes,$1B (est.),YES,"Injection molding machinery manufacturer ($1.5B revenue). Complex equipment, 50+ parts, multiple series/models, dealer and direct sales.",YES,high,Injection molding and extrusion machinery manufacturer; revenue $1.5B exceeds $100M threshold.,https://www.kraussmaffei.com/en,exact,exact
13,Parker Hannifin,"Automation, Robotics & Material Handling",Yes,$19.9B (FY2024),NO,"Component supplier (hydraulics, pneumatics, filtration) not equipment manufacturer. Makes components FOR equipment, fails core test despite $19.9B revenue.",YES,high,"Hydraulic, pneumatic, fluid handling components with vast catalogue; revenue $19.9B exceeds $100M.",https://www.parker.com/,hard_miss,exact
14,"JEOL USA, INC",Metrology & Inspection,Yes,"$1B+ (parent, FY2024)",NO,"Scientific/research instrument manufacturer (electron microscopes, spectrometers). Excluded category; not industrial manufacturing equipment.",YES,high,Electron microscopes and metrology instruments; parent JEOL Ltd. revenue $1.19B exceeds $100M.,https://www.jeolusa.com/,hard_miss,exact
15,Jaka Americas LLC,"Automation, Robotics & Material Handling",Yes,"$100M-$200M (est., parent)",NEAR,Collaborative robot manufacturer (~$60-100M ARR). Complex equipment with 50+ parts. Passes core test but revenue likely under $100M threshold.,NEAR,medium,"Collaborative robots OEM; parent JAKA Robotics has 2022 revenue ~¥281M, likely under $100M.",https://www.cbinsights.com/company/jaka,wrong_tier,wrong_tier
16,xTool,Machine Tools & Fabrication Machinery,Yes,$100M-$500M (est.),NO,"Laser cutters/engravers for hobbyists and makers; consumer-focused equipment, excluded category.",NO,high,Laser equipment maker for makers/hobbyists; not industrial product catalogue through dealer networks.,https://www.xtool.com/,hard_miss,hard_miss
17,"Comau, LLC","Automation, Robotics & Material Handling",Yes,$1.1B (est.),YES,"Industrial robotics and automation systems integrator. $500M+ revenue, complex configurable products, 3,700+ employees globally.",YES,high,Industrial automation & robotics manufacturer; broad catalogue; part of multinational group.,https://www.comau.com/en/,exact,exact
