company_linkedin_tag,linkedin_url,name,domain,website,segment,icp_confidence,tier,size_band,employees_on_linkedin,industry,company_type,founded_year,hq_city,hq_state,hq_country,payroll_evidence,hiring_payroll_roles,sources
mha-uk,https://www.linkedin.com/company/mha-uk,MHA,mha.co.uk,https://www.mha.co.uk,accountancy-practice-payroll,medium,enterprise-201plus,1001-5000,3341,Accounting,Partnership,2010,London,-,GB,accountancy,payroll manager,aiark-lookalike; jobs::payroll manager; pros-ind::Accounting::United Kingdom
tax-consultant,https://www.linkedin.com/company/tax-consultant,Tax Consultant,-,https://wearegalloways.com,accountancy-practice-payroll,medium,enterprise-201plus,1001-5000,3026,Accounting,Private,-,Brighton,England,GB,accountants,-,pros-ind::Accounting::United Kingdom
nessun-commento,https://www.linkedin.com/company/nessun-commento,Nessun Commento,-,https://nebuya.org,accountancy-practice-payroll,high,enterprise-201plus,1001-5000,2934,Staffing and Recruiting,Public,-,London,England,GB,payroll processing,-,pros-ind::Staffing and Recruiting::United Kingdom; pros-kw::bookkeeping::United Kingdom
grant-thornton-ireland,https://www.linkedin.com/company/grant-thornton-ireland,Grant Thornton Ireland,grantthornton.ie,https://www.grantthornton.ie,accountancy-practice-payroll,medium,enterprise-201plus,1001-5000,2433,Professional Services,Partnership,1899,Dublin,Leinster,IE,chartered accountants; accountants; accountancy; accountancy firm,payroll administrator; payroll assistant; payroll manager; payroll specialist,"aiark-lookalike; jobs::payroll administrator,payroll assistant,payroll manager; pros-kw::chartered accountants::Ireland; pros-kw::outsourced payroll::Ireland; pros-kw::payroll outsourcing::United Kingdom; pros-kw::payroll solutions::Ireland; pros-kw::payroll solutions::United Kingdom; pros-kw::payroll::Ireland; pros-kw::payroll::United Kingdom"
swgroupireland,https://www.linkedin.com/company/swgroupireland,S&W Ireland,evelyn.com,https://www.swgroup.com/ie,accountancy-practice-payroll,medium,enterprise-201plus,1001-5000,2353,It Services And It Consulting,PRIVATELY_HELD,1958,Dublin,-,IE,accountancy,-,aiark-lookalike; pros-ind::Financial Services::United Kingdom
brewin-dolphin,https://www.linkedin.com/company/brewin-dolphin,RBC Brewin Dolphin,brewin.co.uk,https://brewin.co.uk,accountancy-practice-payroll,medium,enterprise-201plus,1001-5000,1962,Financial Services,Public,-,London,England,GB,accountants,-,pros-ind::Financial Services::United Kingdom
cooper-parry,https://www.linkedin.com/company/cooper-parry,Cooper Parry,cooperparry.com,https://linktr.ee/cooperparry,accountancy-practice-payroll,medium,enterprise-201plus,1001-5000,1623,Financial Services,PARTNERSHIP,1850,Uk,-,GB,accountancy; accountancy firm,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-ind::Financial Services::United Kingdom; pros-kw::payroll services::United Kingdom
saffery,https://www.linkedin.com/company/saffery,Saffery,saffery.com,https://www.saffery.com,accountancy-practice-payroll,medium,enterprise-201plus,1001-5000,1344,Accounting,Partnership,1855,London,-,GB,accountants; accountancy; accountancy firm,payroll administrator,aiark-lookalike; jobs::payroll administrator; pros-ind::Accounting::United Kingdom
tc-group3,https://www.linkedin.com/company/tc-group3,TC Group,tc-group.com,https://www.tc-group.com,accountancy-practice-payroll,medium,enterprise-201plus,1001-5000,1282,Accounting,Privately Held,1992,Steyning,West Sussex,GB,accountants; accountancy; bookkeeping; accountancy firm,payroll assistant; payroll manager,"aiark-lookalike; jobs::payroll assistant,payroll manager; jobs::payroll manager; kw::payroll management::GB; pros-ind::Accounting::United Kingdom; pros-kw::accountancy practice::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom"
menzies-llp,https://www.linkedin.com/company/menzies-llp,Menzies LLP,menzies.co.uk,https://www.menzies.co.uk,accountancy-practice-payroll,high,enterprise-201plus,1001-5000,1178,Accounting,Partnership,1912,London,-,GB,payroll bureau,payroll administrator; payroll assistant; payroll manager,"aiark-lookalike; jobs::payroll administrator,payroll assistant,payroll manager; pros-ind::Accounting::United Kingdom; pros-kw::accountancy practice::United Kingdom; pros-kw::payroll bureau::United Kingdom; pros-kw::payroll::United Kingdom"
