domain,company_name,company_linkedin,website,employees,employee_range,year_founded,company_type,industry,hq_city,hq_region,hq_country,description,campaign,config_slug,sourcing_reasoning
medtronic.com,Medtronic,-,http://www.medtronic.com,98894,10001+,-,Public Company,Medical Equipment Manufacturing,Fridley,Minnesota,United States,A global healthcare technology leader — boldly attacking the most challenging health problems facing humanity with innovations that transform lives.,Before the Buyer Arrives — Seller Side,-,"Matched company filter for medtech/diagnostics parents at scale (98894 employees, industry='Medical Equipment Manufacturing', HQ United States). Segment requires $250M+ revenue and an announced separation/strategic-review signal — headcount/industry match is confirmed by this pull; the separation-announcement trigger itself is NOT yet verified per-company and must be checked against 8-K/press-release sources before this company is treated as qualified."
stryker.com,Stryker,-,http://www.stryker.com,51125,10001+,-,Public Company,Medical Equipment Manufacturing,Kalamazoo,Michigan,United States,"Stryker is a global leader in medical technologies and, together with our customers, we are driven to make healthcare better. We offer innovative products and services in MedSurg, Neurotechnology and Orthopaedics that help improve patient and healthcare outcomes. Alongside its customers around the world, Stryker impacts more than 150 million patients annually. More information is available at stryker.com and careers.stryker.com.  Facts:  ● 2024 Sales: $22.6 billion  ● Industry: Medical Instrumen",Before the Buyer Arrives — Seller Side,-,"Matched company filter for medtech/diagnostics parents at scale (51125 employees, industry='Medical Equipment Manufacturing', HQ United States). Segment requires $250M+ revenue and an announced separation/strategic-review signal — headcount/industry match is confirmed by this pull; the separation-announcement trigger itself is NOT yet verified per-company and must be checked against 8-K/press-release sources before this company is treated as qualified."
bostonscientific.com,Boston Scientific,-,http://www.bostonscientific.com,54352,10001+,-,Public Company,Medical Equipment Manufacturing,Marlborough,Massachusetts,United States,"Boston Scientific transforms lives through innovative medical technologies that improve the health of patients around the world. As a global medical technology leader for more than 40 years, we advance science for life by providing a broad range of high-performance solutions that address unmet patient needs and reduce the cost of health care. Our portfolio of devices and therapies helps physicians diagnose and treat complex cardiovascular, respiratory, digestive, oncological, neurological and ur",Before the Buyer Arrives — Seller Side,-,"Matched company filter for medtech/diagnostics parents at scale (54352 employees, industry='Medical Equipment Manufacturing', HQ United States). Segment requires $250M+ revenue and an announced separation/strategic-review signal — headcount/industry match is confirmed by this pull; the separation-announcement trigger itself is NOT yet verified per-company and must be checked against 8-K/press-release sources before this company is treated as qualified."
bd.com,BD,-,http://www.bd.com,46114,10001+,-,Public Company,Medical Equipment Manufacturing,Franklin Lakes,New Jersey,United States,"BD is one of the world's largest pure-play medical technology companies with a Purpose of advancing the world of health™ by driving innovation across medical essentials, connected care, biopharma systems and interventional. The company supports those on the frontlines of healthcare by developing transformative technologies, services and solutions that optimize clinical operations and improve care for patients. Operating across the globe, with more than 60,000 employees, BD delivers billions of p",Before the Buyer Arrives — Seller Side,-,"Matched company filter for medtech/diagnostics parents at scale (46114 employees, industry='Medical Equipment Manufacturing', HQ United States). Segment requires $250M+ revenue and an announced separation/strategic-review signal — headcount/industry match is confirmed by this pull; the separation-announcement trigger itself is NOT yet verified per-company and must be checked against 8-K/press-release sources before this company is treated as qualified."
baxter.com,Baxter International Inc.,-,http://www.baxter.com,39166,10001+,-,Public Company,Medical Equipment Manufacturing,Deerfield,Illinois,United States,"For nearly a century, we have delivered on our commitment to saving and sustaining the lives of patients, working alongside clinicians and providers around the world. We believe every person — regardless of who they are or where they are from — deserves a chance to live a healthy life, free from illness and full of possibility. At the intersection of progress and purpose is where we are redefining what it means to be a global medtech leader. It is where we are relentlessly pursuing healthcare tr",Before the Buyer Arrives — Seller Side,-,"Matched company filter for medtech/diagnostics parents at scale (39166 employees, industry='Medical Equipment Manufacturing', HQ United States). Segment requires $250M+ revenue and an announced separation/strategic-review signal — headcount/industry match is confirmed by this pull; the separation-announcement trigger itself is NOT yet verified per-company and must be checked against 8-K/press-release sources before this company is treated as qualified."
zimmerbiomet.com,Zimmer Biomet,-,http://www.zimmerbiomet.com,19075,10001+,-,Public Company,Medical Equipment Manufacturing,Warsaw,Indiana,United States,"Zimmer Biomet is a global medical technology leader with a comprehensive portfolio designed to maximize mobility and improve health. We advance our mission to alleviate pain and improve the quality of life for patients around the world with our innovative products and suite of integrated digital and robotic technologies leverage data, data analytics and artificial intelligence. Founded in 1927 and based in Warsaw, Zimmer Biomet has operations in more than 25 countries and sales in more than 100 ",Before the Buyer Arrives — Seller Side,-,"Matched company filter for medtech/diagnostics parents at scale (19075 employees, industry='Medical Equipment Manufacturing', HQ United States). Segment requires $250M+ revenue and an announced separation/strategic-review signal — headcount/industry match is confirmed by this pull; the separation-announcement trigger itself is NOT yet verified per-company and must be checked against 8-K/press-release sources before this company is treated as qualified."
intuitive.com,Intuitive,-,http://www.intuitive.com,12945,10001+,1995,Public Company,Medical Equipment Manufacturing,Sunnyvale,California,United States,"Intuitive (Nasdaq: ISRG), headquartered in Sunnyvale, Calif., is a global technology leader in minimally invasive care and the pioneer of robotic-assisted surgery. At Intuitive, we believe that minimally invasive care is life-enhancing care. Through ingenuity and intelligent technology, we expand the potential of physicians to heal without constraints.",Before the Buyer Arrives — Seller Side,-,"Matched company filter for medtech/diagnostics parents at scale (12945 employees, industry='Medical Equipment Manufacturing', HQ United States). Segment requires $250M+ revenue and an announced separation/strategic-review signal — headcount/industry match is confirmed by this pull; the separation-announcement trigger itself is NOT yet verified per-company and must be checked against 8-K/press-release sources before this company is treated as qualified."
medline.com,Medline,-,http://www.medline.com,18627,10001+,-,Public Company,Medical Equipment Manufacturing,Northfield,Illinois,United States,"Medline is the largest provider of medical-surgical products and supply chain solutions serving all points of care. Through its broad product portfolio, resilient supply chain and leading clinical solutions, Medline helps healthcare providers improve their clinical, financial and operational outcomes. Headquartered in Northfield, Ill., the company employs more than 45,000 people worldwide and operates in more than 100 countries. To learn more about how Medline makes healthcare run better, visit ",Before the Buyer Arrives — Seller Side,-,"Matched company filter for medtech/diagnostics parents at scale (18627 employees, industry='Medical Equipment Manufacturing', HQ United States). Segment requires $250M+ revenue and an announced separation/strategic-review signal — headcount/industry match is confirmed by this pull; the separation-announcement trigger itself is NOT yet verified per-company and must be checked against 8-K/press-release sources before this company is treated as qualified."
danaher.com,Danaher Corporation,-,http://www.danaher.com,53253,10001+,1984,Public Company,Medical Equipment Manufacturing,Washington,District of Columbia,United States,"Danaher is a leading global life sciences and diagnostics innovator, committed to accelerating the power of science and technology to improve human health. We partner with customers around the world to accelerate breakthroughs from idea to impact, moving with the speed and certainty they need to advance life‑changing science.  By working side‑by‑side with researchers, scientists, and clinicians, we solve their hardest problems—together, bringing the right expertise, technologies, and partners fr",Before the Buyer Arrives — Seller Side,-,"Matched company filter for medtech/diagnostics parents at scale (53253 employees, industry='Medical Equipment Manufacturing', HQ United States). Segment requires $250M+ revenue and an announced separation/strategic-review signal — headcount/industry match is confirmed by this pull; the separation-announcement trigger itself is NOT yet verified per-company and must be checked against 8-K/press-release sources before this company is treated as qualified."
edwards.com,Edwards Lifesciences,-,http://www.edwards.com,14045,10001+,1958,Public Company,Medical Equipment Manufacturing,Irvine,California,United States,"Edwards Lifesciences (NYSE: EW), is the leading global structural heart innovation company, driven by a passion to improve patient lives. Through breakthrough technologies, world-class evidence and partnerships with clinicians and healthcare stakeholders, our employees are inspired by our patient-focused culture to deliver life-changing innovations to those who need them most.   We thrive on discovery and expanding the boundaries of medical technology, serving patients in 100+ countries, with th",Before the Buyer Arrives — Seller Side,-,"Matched company filter for medtech/diagnostics parents at scale (14045 employees, industry='Medical Equipment Manufacturing', HQ United States). Segment requires $250M+ revenue and an announced separation/strategic-review signal — headcount/industry match is confirmed by this pull; the separation-announcement trigger itself is NOT yet verified per-company and must be checked against 8-K/press-release sources before this company is treated as qualified."
