company_id,company_name,domain,linkedin_url,industry,employees,size_band,blitz_revenue,segment,source,agent_verdict,agent_confidence,agent_reason,agent_model,agent_run,reason_trust
10361,Caterpillar Inc.,caterpillar.com,https://www.linkedin.com/company/caterpillar-inc,Machinery Manufacturing,66674,10001+,45500000000,casual-connections,repo_sourcing,FIT,high,Construction/mining equipment and engine manufacturer; $64.8B revenue,claude-haiku-4-5,us-triage-t2-2026-09-16,ok
10362,John Deere,deere.com,https://www.linkedin.com/company/john-deere,Machinery Manufacturing,56687,10001+,-,casual-connections,repo_sourcing,FIT,high,Agricultural/construction equipment manufacturer; deep product range,claude-haiku-4-5,us-triage-t2-2026-09-16,ok
11944,Cummins Inc.,cummins.com,https://www.linkedin.com/company/cummins-inc,Motor Vehicle Manufacturing,53941,10001+,-,ivt-expo-off-highway,repo_sourcing,FIT,high,"Engines, powertrains, turbo, emissions, fuel systems supplier",claude-haiku-4-5,us-triage-t2-2026-09-16,ok
11945,Lear Corporation,lear.com,https://www.linkedin.com/company/lear-corporation,Motor Vehicle Manufacturing,53116,10001+,-,ivt-expo-off-highway,repo_sourcing,FIT,high,Global automotive seating and electrical systems supplier,claude-haiku-4-5,us-triage-t2-2026-09-16,ok
11948,The Goodyear Tire & Rubber Company,goodyear.com,https://www.linkedin.com/company/goodyear,Motor Vehicle Manufacturing,30965,10001+,15400000000,ivt-expo-off-highway,repo_sourcing,FIT,high,Major tire manufacturer with deep product portfolio,claude-haiku-4-5,us-triage-t2-2026-09-16,ok
20634,Parker Hannifin,parker.com,https://www.linkedin.com/company/parker-hannifin,Industrial Machinery Manufacturing,29982,10001+,-,Tooling & Workholding,imts_exhibitor,FIT,high,Fortune 250 hydraulics/pneumatics/components manufacturer.,claude-haiku-4-5,us-triage-t2-2026-09-16,ok
20691,"Smart Storage Solutions, Vidmar, LISTA, CribMaster",storage.stanleyblackanddecker.com,https://www.linkedin.com/company/stanley-black-decker-inc,Manufacturing,29827,10001+,-,Tooling & Workholding,imts_exhibitor,FIT,high,Stanley storage/tool portfolio — industrial products manufacturer.,claude-haiku-4-5,us-triage-t2-2026-09-16,ok
21147,Rockwell Automation,events.rockwellautomation.com,https://www.linkedin.com/company/rockwell-automation,Automation Machinery Manufacturing,22947,10001+,-,Automation,imts_exhibitor,FIT,high,Manufacturer of industrial products,claude-haiku-4-5,us-triage-t2-2026-09-16,ok
11954,Tenneco,tenneco.com,https://www.linkedin.com/company/tenneco,Motor Vehicle Manufacturing,21632,10001+,-,ivt-expo-off-highway,repo_sourcing,FIT,high,"Exhaust, powertrain, suspension systems manufacturer",claude-haiku-4-5,us-triage-t2-2026-09-16,ok
11959,Bridgestone Americas,bridgestoneamericas.com,https://www.linkedin.com/company/bridgestone,Motor Vehicle Manufacturing,19756,10001+,-,ivt-expo-off-highway,repo_sourcing,FIT,high,Tire manufacturer with global product portfolio,claude-haiku-4-5,us-triage-t2-2026-09-16,ok
