company_name,company_linkedin_tag,domain,industry,company_type,size_bucket,employees_on_linkedin,founded_year,hq_city,hq_state,hq_country,segment
Storm3,https://www.linkedin.com/company/storm3,storm3.com,Staffing and Recruiting,Privately Held,51-200,89,2020,New York,New York,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Blue Signal Search,https://www.linkedin.com/company/blue-signal-search,bluesignal.com,Staffing and Recruiting,Privately Held,51-200,111,2012,Phoenix,Arizona,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Calm,https://www.linkedin.com/company/calm-com,calm.com,Mental Health Care,Privately Held,201-500,756,2012,San Francisco,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
TBG | The Bachrach Group,https://www.linkedin.com/company/the-bachrach-group,bachrachgroup.com,Staffing and Recruiting,Privately Held,201-500,325,1974,New York,New York,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
LevelUP HCS,https://www.linkedin.com/company/leveluphcs,leveluphcs.com,Human Resources Services,Privately Held,51-200,381,-,New York,New York,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Tandym Group,https://www.linkedin.com/company/tandymgroup,tandymgroup.com,Staffing and Recruiting,Privately Held,201-500,760,-,New York,New York,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Scry AI,https://www.linkedin.com/company/scryai,scryai.com,Software Development,Privately Held,201-500,249,2014,San Jose,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
PureLogics,https://www.linkedin.com/company/purelogics,purelogics.com,Software Development,Privately Held,201-500,745,2006,New York,New York,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Vertisystem (A MOURI Tech Company),https://www.linkedin.com/company/vertisystem,vertisystem.com,Business Consulting and Services,Privately Held,201-500,365,2007,Fremont,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
RBW Consulting,https://www.linkedin.com/company/rbw-consulting,rbwconsulting.com,Staffing and Recruiting,Privately Held,51-200,88,2007,Boston,Massachusetts,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Hirewell,https://www.linkedin.com/company/hirewell,hirewell.com,Staffing and Recruiting,Privately Held,51-200,133,2001,Chicago,Illinois,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
"ARK Solutions, Inc.",https://www.linkedin.com/company/arksolutionsinc,arksolutionsinc.com,Staffing and Recruiting,Privately Held,201-500,205,2003,Reston,Virginia,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
BrothersTech,https://www.linkedin.com/company/brotherstech,brotherstechinc.com,IT Services and IT Consulting,Privately Held,51-200,32,2017,Dover,Delaware,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Yochana,https://www.linkedin.com/company/yochana,yochana.com,IT Services and IT Consulting,Privately Held,201-500,406,2009,Farmington,Michigan,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Ztek Consulting,https://www.linkedin.com/company/ztek-inc,ztekinc.com,Staffing and Recruiting,Privately Held,201-500,237,2001,Atlanta,Georgia,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Darwix AI,https://www.linkedin.com/company/darwix-ai,cur8.in,Software Development,Privately Held,51-200,88,2022,San Francisco,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Maxonic Inc.,https://www.linkedin.com/company/maxonic,maxonic.com,Information Technology and Services,Privately Held,201-500,219,2002,Campbell,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
WaferWire Cloud Technologies,https://www.linkedin.com/company/waferwire,waferwire.com,Software Development,Privately Held,201-500,271,2010,Redmond,Washington,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
M3 USA,https://www.linkedin.com/company/so-net-m3,m3.com,Technology; Information and Internet,Public Company,201-500,265,-,Fort Washington,Pennsylvania,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Cedar,https://www.linkedin.com/company/cedar-inc.,cedar.com,Hospitals and Health Care,Privately Held,201-500,814,2016,New York,New York,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Qure.ai,https://www.linkedin.com/company/qure.ai,qure.ai,Medical Device,Privately Held,51-200,426,2016,New York,-,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Orange Logic,https://www.linkedin.com/company/orange-logic,orangelogic.com,Software Development,Privately Held,201-500,281,1998,Irvine,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
H2O.ai,https://www.linkedin.com/company/h2oai,h2o.ai,Software Development,Privately Held,201-500,380,2012,Mountain View,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Creospan Inc.,https://www.linkedin.com/company/creospan,creospan.com,Information Technology and Services,Privately Held,201-500,184,1999,Schaumburg,Illinois,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Triomics,https://www.linkedin.com/company/triomics,triomics.com,Software Development,Privately Held,51-200,93,-,New York,New York,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Engage Partners Inc.,https://www.linkedin.com/company/engagepartners-inc,engagestaff.com,Staffing and Recruiting,Privately Held,51-200,85,2007,Melville,New York,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
IPsoft,https://www.linkedin.com/company/ipsoft,ipsoft.com,IT Services and IT Consulting,Privately Held,51-200,509,1998,New York,New York,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Vistara Solutions Inc.,https://www.linkedin.com/company/vistara-solutionsinc,vistarainc.com,IT Services and IT Consulting,Privately Held,201-500,303,2002,Dublin,Ohio,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
InfoStride,https://www.linkedin.com/company/infostride,infostride.com,IT Services and IT Consulting,Privately Held,51-200,161,2014,Austin,Texas,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Clovity,https://www.linkedin.com/company/clovity,clovity.com,IT Services and IT Consulting,Privately Held,51-200,134,2017,Dublin,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Neolytix,https://www.linkedin.com/company/neolytix,neolytix.com,Hospitals and Health Care,Privately Held,201-500,212,2012,Chicago,Illinois,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Murf AI,https://www.linkedin.com/company/murf-ai,murf.ai,Software Development,Privately Held,51-200,115,2020,San Francisco,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Grow Therapy,https://www.linkedin.com/company/grow-therapy,growtherapy.com,Mental Health Care,Privately Held,201-500,3252,2020,New York,New York,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Khosla Ventures,https://www.linkedin.com/company/khosla-ventures,khoslaventures.com,Venture Capital and Private Equity Principals,Privately Held,51-200,207,2004,Menlo Park,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Acunor,https://www.linkedin.com/company/acunor,acunor.com,Staffing and Recruiting,Privately Held,51-200,53,2016,Princeton,New Jersey,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Bellurbis,https://www.linkedin.com/company/bellurbis-llc,bellurbis.com,IT Services and IT Consulting,Privately Held,51-200,95,2011,Austin,Texas,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Medallion,https://www.linkedin.com/company/medallion-credentials,medallion.co,Hospitals and Health Care,Privately Held,201-500,596,2020,San Francisco,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
LandingAI,https://www.linkedin.com/company/landing-ai,landing.ai,Software Development,Privately Held,51-200,112,2017,Mountain View,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Minitab,https://www.linkedin.com/company/minitab,minitab.com,Software Development,Privately Held,201-500,744,1972,State College,Pennsylvania,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
The HIRD,https://www.linkedin.com/company/thehirdindia,thehird.com,Staffing and Recruiting,Privately Held,201-500,103,2020,Sheridan,Wyoming,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Locus Robotics,https://www.linkedin.com/company/locus-robotics,locusrobotics.com,Automation Machinery Manufacturing,Privately Held,201-500,500,2014,Wilmington,Massachusetts,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
AHIMA,https://www.linkedin.com/company/ahima,ahima.org,Hospitals and Health Care,Nonprofit,51-200,406,1928,Chicago,Illinois,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Team Geek Solutions,https://www.linkedin.com/company/teamgeeksolutions,teamgeeksolutions.com,IT Services and IT Consulting,Privately Held,51-200,49,2018,Leander,Texas,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Newpage Solutions,https://www.linkedin.com/company/newpage-solutions,newpage.io,IT Services and IT Consulting,Privately Held,51-200,153,2012,Usa,Florida,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
TuneCore,https://www.linkedin.com/company/tunecore,tunecore.com,Music,Public Company,51-200,640,2005,Brooklyn,New York,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Cyara,https://www.linkedin.com/company/cyara,cyara.com,Software Development,Privately Held,201-500,390,2006,Austin,Texas,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
SMS-Magic,https://www.linkedin.com/company/screen-magic-media,sms-magic.com,Software Development,Privately Held,51-200,302,2008,Henderson,Nevada,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Ginger,https://www.linkedin.com/company/carebyginger,ginger.com,Mental Health Care,Privately Held,201-500,251,-,San Francisco,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Xeven Solutions,https://www.linkedin.com/company/xevensolutions,xevensolutions.com,IT Services and IT Consulting,Partnership,51-200,289,2016,Pennsylvania,-,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Pacific Data Integrators,https://www.linkedin.com/company/pacific-data-integrators,pacificdataintegrators.com,IT Services and IT Consulting,Privately Held,51-200,68,2009,Roseville,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Pulivarthi Group (PG) Healthcare Staffing,https://www.linkedin.com/company/pulivarthigroup,pulivarthigroup.com,Hospitals and Health Care,Privately Held,51-200,38,2017,Tega Cay,South Carolina,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Augury,https://www.linkedin.com/company/augury-systems,augury.com,Software Development,Privately Held,201-500,352,2011,New York,New York,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Newlink®,https://www.linkedin.com/company/newlinkglobal,newlink-group.com,Business Consulting and Services,Privately Held,201-500,481,1998,Miami,Florida,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
TEK NINJAS,https://www.linkedin.com/company/tekninjas,tekninjas.com,IT Services and IT Consulting,Privately Held,201-500,206,2015,Carrollton,Texas,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
Indigo,https://www.linkedin.com/company/indigoag,indigoag.com,Farming,Privately Held,201-500,1414,2013,Boston,Massachusetts,US,Campaign #1 - Enterprise & Platforms (Casual Connections)
