domain,company_name,company_linkedin,website,employees,employee_range,year_founded,company_type,industry,hq_city,hq_region,hq_country,description,campaign,config_slug,sourcing_reasoning
terumomedical.com,Terumo Medical Corporation,https://www.linkedin.com/company/terumo,http://www.terumomedical.com,2904,1001-5000,1972,Public Company,Medical Equipment Manufacturing,Somerset,New Jersey,United States,"Our Promise  At Terumo, everything starts with our unwavering commitment to patients.  Listening sincerely to their needs and deeply understanding their hopes and aspirations, we boldly pursue innovative ways to help enhance the lives of patients around the world.  Our Promise Story   Terumo was founded by a group of physicians and scientists to support the lives of people. Ever since then, we have been doing all we can to advance healthcare and enhance patients’ quality of life.  This mindset, ",Exit Ready,-,"Matched filter for PE-backed-scale medtech/diagnostics companies (2904 employees, industry='Medical Equipment Manufacturing'), sized to the $100M-$1B hold-period band this segment targets. Segment additionally requires 3+ years held, 2+ un-consolidated add-ons, or an active sale-process/banker signal — none of these deal-stage facts are verified by this pull; they require PitchBook/deal-news confirmation per company before outreach."
shockwavemedical.com,Shockwave Medical,https://www.linkedin.com/company/shockwave-medical,http://shockwavemedical.com,1540,1001-5000,-,Public Company,Medical Equipment Manufacturing,Santa Clara,California,United States,"Shockwave Medical is revolutionizing the interventional treatment of advanced cardiovascular disease by developing technology that targets calcified plaque. Inspired by 30-years of safety and efficacy in kidney stone treatment, our Intravascular Lithotripsy family of catheters delivers localized lithotripsy at the site of cardiovascular calcium that enables gentle balloon dilatation of calcified, stenotic arteries.   IVL catheters use sonic pressure waves to preferentially impact hard tissue, di",Exit Ready,-,"Matched filter for PE-backed-scale medtech/diagnostics companies (1540 employees, industry='Medical Equipment Manufacturing'), sized to the $100M-$1B hold-period band this segment targets. Segment additionally requires 3+ years held, 2+ un-consolidated add-ons, or an active sale-process/banker signal — none of these deal-stage facts are verified by this pull; they require PitchBook/deal-news confirmation per company before outreach."
terumoneuro.com,Terumo Neuro,https://www.linkedin.com/company/terumoneuro,http://terumoneuro.com,1359,1001-5000,1997,Public Company,Medical Equipment Manufacturing,Aliso Viejo,California,United States,"We’re in business to create and deliver innovations that redefine what’s possible in neurovascular treatment, meaningfully advancing both physician practice and patient outcomes. Founded in 1997 as MicroVention and acquired by Terumo Corporation in 2006, Terumo Neuro offers more than thirty products for the treatment of cerebral aneurysms, ischemic stroke, carotid artery disease, and neurovascular malformations. Headquartered in California, Terumo Neuro products are sold in more than seventy cou",Exit Ready,-,"Matched filter for PE-backed-scale medtech/diagnostics companies (1359 employees, industry='Medical Equipment Manufacturing'), sized to the $100M-$1B hold-period band this segment targets. Segment additionally requires 3+ years held, 2+ un-consolidated add-ons, or an active sale-process/banker signal — none of these deal-stage facts are verified by this pull; they require PitchBook/deal-news confirmation per company before outreach."
glidewelldental.com,Glidewell Dental,https://www.linkedin.com/company/glidewell,http://www.glidewelldental.com,2230,1001-5000,1970,Privately Held,Medical Equipment Manufacturing,Irvine,California,United States,"Glidewell is America’s largest digital dental lab, pioneering industry-first innovations that expand what’s possible in restorative dentistry. Our mission is to empower dental professionals with comprehensive, convenient, cost-effective clinical solutions, by combining open digital workflows, AI-powered manufacturing, and vertically integrated operations.  We meet dentists where they are on their digital journey, offering flexible solutions that fit any practice—accepting all scanners, digitizin",Exit Ready,-,"Matched filter for PE-backed-scale medtech/diagnostics companies (2230 employees, industry='Medical Equipment Manufacturing'), sized to the $100M-$1B hold-period band this segment targets. Segment additionally requires 3+ years held, 2+ un-consolidated add-ons, or an active sale-process/banker signal — none of these deal-stage facts are verified by this pull; they require PitchBook/deal-news confirmation per company before outreach."
accuray.com,Accuray,https://www.linkedin.com/company/accuray,https://www.accuray.com,1062,501-1000,-,Public Company,Medical Equipment Manufacturing,Madison,Wisconsin,United States,We work passionately to expand the curative power of radiation therapy to improve as many lives as possible. #AccurayExpandRT #CyberKnife #Radixact #TomoTherapy #AccurayExchange,Exit Ready,-,"Matched filter for PE-backed-scale medtech/diagnostics companies (1062 employees, industry='Medical Equipment Manufacturing'), sized to the $100M-$1B hold-period band this segment targets. Segment additionally requires 3+ years held, 2+ un-consolidated add-ons, or an active sale-process/banker signal — none of these deal-stage facts are verified by this pull; they require PitchBook/deal-news confirmation per company before outreach."
hydrafacial.com,Hydrafacial,https://www.linkedin.com/company/thehydrafacialcompany,http://www.hydrafacial.com,690,501-1000,-,Public Company,Medical Equipment Manufacturing,Long Beach,California,United States,"Hydrafacial is a wholly owned subsidiary of SkinHealth Systems (NASDAQ: SKIN), a global category-creating company delivering millions of skin health experiences every year that help consumers reinvent their relationship with their skin, bodies and self-confidence. Our brands are pioneers: Hydrafacial™ in hydradermabrasion, SkinStylus™ in microneedling, and Keravive™ in HydraScalp. Together, with our powerful global community of estheticians, partners and consumers, we are personalizing skin heal",Exit Ready,-,"Matched filter for PE-backed-scale medtech/diagnostics companies (690 employees, industry='Medical Equipment Manufacturing'), sized to the $100M-$1B hold-period band this segment targets. Segment additionally requires 3+ years held, 2+ un-consolidated add-ons, or an active sale-process/banker signal — none of these deal-stage facts are verified by this pull; they require PitchBook/deal-news confirmation per company before outreach."
orthofix.com,Orthofix,https://www.linkedin.com/company/orthofix,http://www.orthofix.com,2063,1001-5000,-,Public Company,Medical Equipment Manufacturing,The Colony,Texas,United States,"Orthofix is a global medical technology company headquartered in Lewisville, Texas. By providing medical technologies that heal musculoskeletal pathologies, we deliver exceptional experiences and life-changing solutions to patients around the world. Orthofix offers a comprehensive portfolio of spinal hardware, bone growth therapies, specialized limb reconstruction solutions, biologics and enabling technologies, including the 7D FLASH™ navigation system.  𝗢𝘂𝗿 𝗩𝗶𝘀𝗶𝗼𝗻: To be the unrivaled partner i",Exit Ready,-,"Matched filter for PE-backed-scale medtech/diagnostics companies (2063 employees, industry='Medical Equipment Manufacturing'), sized to the $100M-$1B hold-period band this segment targets. Segment additionally requires 3+ years held, 2+ un-consolidated add-ons, or an active sale-process/banker signal — none of these deal-stage facts are verified by this pull; they require PitchBook/deal-news confirmation per company before outreach."
kerrdental.com,Kerr Dental,https://www.linkedin.com/company/kerrdental,https://www.kerrdental.com,757,1001-5000,-,Public Company,Medical Equipment Manufacturing,Brea,California,United States,"Kerr is a premier dental solutions provider committed to exceptional customer experience.  Kerr’s long history of innovation began in 1891 in Detroit, Michigan and expanded to the European Market in 1893.  Market leading brands include OptiBond, SonicFill, Harmonize, Maxcem Elite, K-Files, and CaviWipes.  For more information about Kerr, visit www.kerrdental.com.    For our full social media terms and conditions, please see https://p.widencdn.net/p9jlyz/Document7.docx .",Exit Ready,-,"Matched filter for PE-backed-scale medtech/diagnostics companies (757 employees, industry='Medical Equipment Manufacturing'), sized to the $100M-$1B hold-period band this segment targets. Segment additionally requires 3+ years held, 2+ un-consolidated add-ons, or an active sale-process/banker signal — none of these deal-stage facts are verified by this pull; they require PitchBook/deal-news confirmation per company before outreach."
abiomed.com,Abiomed,https://www.linkedin.com/company/columbia-new-york-presbyterian,http://www.abiomed.com,2216,1001-5000,1981,Public Company,Medical Equipment Manufacturing,Danvers,Massachusetts,United States,"Based in Danvers, Massachusetts, USA, Abiomed, Inc., part of Johnson & Johnson MedTech, is a leading provider of medical technology that provides circulatory support and oxygenation. Our products are designed to enable the heart to rest and recover by improving blood flow and/or provide sufficient oxygenation to those in respiratory failure. For additional information, please visit www.abiomed.com.  Important Safety Info: https://bit.ly/39kvb47",Exit Ready,-,"Matched filter for PE-backed-scale medtech/diagnostics companies (2216 employees, industry='Medical Equipment Manufacturing'), sized to the $100M-$1B hold-period band this segment targets. Segment additionally requires 3+ years held, 2+ un-consolidated add-ons, or an active sale-process/banker signal — none of these deal-stage facts are verified by this pull; they require PitchBook/deal-news confirmation per company before outreach."
coopersurgical.com,CooperSurgical,https://www.linkedin.com/company/coopersurgical,http://www.CooperSurgical.com,1842,1001-5000,1990,Public Company,Medical Equipment Manufacturing,Trumbull,Connecticut,United States,"CooperSurgical is driven to advance the care of women, babies, and families around the world. We believe in empowering individuals and healthcare professionals in making health and life choices. We are trusted by clinicians worldwide for products, technologies, and services that support a wide range of reproductive solutions, from contraception to fertility and preventative and therapeutic gynecological care.",Exit Ready,-,"Matched filter for PE-backed-scale medtech/diagnostics companies (1842 employees, industry='Medical Equipment Manufacturing'), sized to the $100M-$1B hold-period band this segment targets. Segment additionally requires 3+ years held, 2+ un-consolidated add-ons, or an active sale-process/banker signal — none of these deal-stage facts are verified by this pull; they require PitchBook/deal-news confirmation per company before outreach."
