domain,company_name,company_linkedin,website,employees,employee_range,year_founded,company_type,industry,hq_city,hq_region,hq_country,description,campaign,config_slug,sourcing_reasoning
alcon.com,Alcon,https://www.linkedin.com/company/alcon,http://www.alcon.com,27582,10001+,-,Public Company,Medical Equipment Manufacturing,Cointrin,Genève,Switzerland,"Alcon helps people see brilliantly. As the global leader in eye care with a heritage spanning over 75 years, we offer the broadest portfolio of products to enhance sight and improve people’s lives. Our Surgical and Vision Care products touch the lives of more than 260 million people in over 140 countries each year living with conditions like cataracts, glaucoma, retinal diseases and refractive errors. Our more than 25,000 associates are enhancing the quality of life through innovative products, ",The Import Without a Playbook,-,"Matched filter for medtech/diagnostics companies headquartered outside the US (HQ country: Switzerland) at $100M-$500M US-revenue proxy scale (27582 employees). Segment additionally requires a US subsidiary/affiliate structure and a recent FDA clearance, US expansion, or new US commercial hire — none of that is verified here; this pull only confirms 'non-US medtech parent of a plausible size', not the US-market trigger itself."
olympus-global.com,Olympus Corporation,https://www.linkedin.com/company/olympus-corp,https://www.olympus-global.com/,13637,10001+,1919,Public Company,Medical Equipment Manufacturing,-,東京,Japan,"Olympus is passionate about creating customer-driven solutions for the medical industry. For more than 100 years, Olympus has focused on making people’s lives healthier, safer and more fulfilling by helping detect, prevent, and treat disease, furthering scientific research, and ensuring public safety. Olympus is headquartered in Tokyo, Japan, with more than 31,000 employees worldwide in nearly 40 countries and regions.",The Import Without a Playbook,-,"Matched filter for medtech/diagnostics companies headquartered outside the US (HQ country: Japan) at $100M-$500M US-revenue proxy scale (13637 employees). Segment additionally requires a US subsidiary/affiliate structure and a recent FDA clearance, US expansion, or new US commercial hire — none of that is verified here; this pull only confirms 'non-US medtech parent of a plausible size', not the US-market trigger itself."
straumann-group.com,Straumann Group,https://www.linkedin.com/company/straumann-group,http://www.straumann-group.com,10312,5001-10000,-,Public Company,Medical Equipment Manufacturing,Basel,Basel-Stadt,Switzerland,"United for global excellence in dentistry. Every vision has its story, and ours began more than 60 years ago. Since then, our innovations and achievements have become landmarks in dentistry worldwide. Straumann began as a family-owned institute, grew into a publicly-owned holding, and today comprises a number of leading and talented companies around the world. Our vision has always been to create more than just smiles, but lasting confidence for dentists, labs, patients, employees, partners, den",The Import Without a Playbook,-,"Matched filter for medtech/diagnostics companies headquartered outside the US (HQ country: Switzerland) at $100M-$500M US-revenue proxy scale (10312 employees). Segment additionally requires a US subsidiary/affiliate structure and a recent FDA clearance, US expansion, or new US commercial hire — none of that is verified here; this pull only confirms 'non-US medtech parent of a plausible size', not the US-market trigger itself."
brainlab.com,Brainlab,https://www.linkedin.com/company/brainlab,https://www.brainlab.com,2071,1001-5000,1989,Privately Held,Medical Equipment Manufacturing,München,Bayern,Germany,"At Brainlab, we digitize medical workflows, from diagnosis to therapy, to offer clinicians and patients better treatment possibilities. Our innovative digital ecosystem forms the basis for modern healthcare technology in 6,700 hospitals in 127 countries. At the forefront of health technology for over 35 years, Munich-based Brainlab employs around 2,400 people with expertise across the entire healthcare value chain in 25 locations worldwide.   At Brainlab, we digitize medical workflows from diagn",The Import Without a Playbook,-,"Matched filter for medtech/diagnostics companies headquartered outside the US (HQ country: Germany) at $100M-$500M US-revenue proxy scale (2071 employees). Segment additionally requires a US subsidiary/affiliate structure and a recent FDA clearance, US expansion, or new US commercial hire — none of that is verified here; this pull only confirms 'non-US medtech parent of a plausible size', not the US-market trigger itself."
ottobock.com,Ottobock,https://www.linkedin.com/company/ottobock,http://www.ottobock.com,4026,5001-10000,1919,Privately Held,Medical Equipment Manufacturing,Duderstadt,Niedersachsen,Germany,"Ottobock, a global MedTech champion, combines over 100 years of tradition with outstanding innovative strength in the fields of prosthetics, neuro-orthotics and exoskeletons. Ottobock develops innovative fitting solutions for people with limited mobility and is driving the digitalisation of the industry. Founded in Berlin in 1919, the company has business activities in 45 countries with nearly 9,300 employees (FTEs) worldwide and operates the largest international patient care network with aroun",The Import Without a Playbook,-,"Matched filter for medtech/diagnostics companies headquartered outside the US (HQ country: Germany) at $100M-$500M US-revenue proxy scale (4026 employees). Segment additionally requires a US subsidiary/affiliate structure and a recent FDA clearance, US expansion, or new US commercial hire — none of that is verified here; this pull only confirms 'non-US medtech parent of a plausible size', not the US-market trigger itself."
hamilton-medical.com,Hamilton Medical,https://www.linkedin.com/company/hamilton-medical-ag,http://www.hamilton-medical.com,889,501-1000,1983,Privately Held,Medical Equipment Manufacturing,Bonaduz,Graubünden,Switzerland,"We live for ventilation technology that helps caregivers improve the lives of their critically ill patients. We believe that innovation is essential to meet the demands of critical care.   To us, innovation is about realizing visionary new ideas and continuously improving existing products, always keeping patient safety and ease of use in focus.  We learn from our customers and from multi-disciplinary experts. And we invest in long-term research and development. We develop Intelligent Ventilatio",The Import Without a Playbook,-,"Matched filter for medtech/diagnostics companies headquartered outside the US (HQ country: Switzerland) at $100M-$500M US-revenue proxy scale (889 employees). Segment additionally requires a US subsidiary/affiliate structure and a recent FDA clearance, US expansion, or new US commercial hire — none of that is verified here; this pull only confirms 'non-US medtech parent of a plausible size', not the US-market trigger itself."
molnlycke.com,Mölnlycke Health Care,https://www.linkedin.com/company/molnlyckehealthcare,https://www.molnlycke.com,3545,5001-10000,-,Privately Held,Medical Equipment Manufacturing,Göteborg,Västra Götaland,Sweden,"We are a progressive and human-centric MedTech company specialising in innovative solutions for wound care and surgical procedures. Our products and solutions are trusted by hospitals, health care providers and patients in over 100 countries worldwide.",The Import Without a Playbook,-,"Matched filter for medtech/diagnostics companies headquartered outside the US (HQ country: Sweden) at $100M-$500M US-revenue proxy scale (3545 employees). Segment additionally requires a US subsidiary/affiliate structure and a recent FDA clearance, US expansion, or new US commercial hire — none of that is verified here; this pull only confirms 'non-US medtech parent of a plausible size', not the US-market trigger itself."
hartmann.info,HARTMANN GROUP,https://www.linkedin.com/company/hartmann-group,https://corporate.hartmann.info,4187,10001+,1818,Public Company,Medical Equipment Manufacturing,Heidenheim an der Brenz,Baden-Württemberg,Germany,"The HARTMANN GROUP is one of the leading European providers of professional medical and care products and associated services. Every day, healthcare professionals and patients rely on HARTMANN brands in the segments of Incontinence Management (e.g. MoliCare®), Wound Care (e.g. Zetuvit®, Cosmopor®) and Infection Management (e. g. Sterillium®). This is expressed in our brand promise of “Helps. Cares. Protects.” Founded in 1818, the Company sells its products and solutions in over 130 countries aro",The Import Without a Playbook,-,"Matched filter for medtech/diagnostics companies headquartered outside the US (HQ country: Germany) at $100M-$500M US-revenue proxy scale (4187 employees). Segment additionally requires a US subsidiary/affiliate structure and a recent FDA clearance, US expansion, or new US commercial hire — none of that is verified here; this pull only confirms 'non-US medtech parent of a plausible size', not the US-market trigger itself."
arjo.com,Arjo,https://www.linkedin.com/company/arjoglobal,http://www.arjo.com,4940,5001-10000,1957,Public Company,Medical Equipment Manufacturing,Malmö,Skåne,Sweden,"At Arjo, we believe that empowering movement within healthcare environments is essential to quality care. Our products and solutions are designed to promote a safe and dignified experience through patient handling, medical beds, personal hygiene, disinfection, diagnostics, and the prevention of pressure injuries and venous thromboembolism. With about 7000 people worldwide and over 65 years of caring for patients and healthcare professionals, we are committed to driving healthier outcomes for peo",The Import Without a Playbook,-,"Matched filter for medtech/diagnostics companies headquartered outside the US (HQ country: Sweden) at $100M-$500M US-revenue proxy scale (4940 employees). Segment additionally requires a US subsidiary/affiliate structure and a recent FDA clearance, US expansion, or new US commercial hire — none of that is verified here; this pull only confirms 'non-US medtech parent of a plausible size', not the US-market trigger itself."
sysmex-europe.com,Sysmex Europe,https://www.linkedin.com/company/sysmex-europe,https://www.sysmex-europe.com,764,501-1000,1968,Public Company,Medical Equipment Manufacturing,Hamburg,Hamburg,Germany,"Sysmex supports healthcare professionals and patients around the world with a broad range of medical diagnostics products and solutions in a variety of fields. With over 50 years’ experience in in-vitro diagnostics, we are continuously developing our product and service portfolio to cover the entire patient pathway of care. Our multi-functional solutions work together with high-quality reagents and reliable service and support to create a better healthcare journey for all.  Sysmex Europe SE, loc",The Import Without a Playbook,-,"Matched filter for medtech/diagnostics companies headquartered outside the US (HQ country: Germany) at $100M-$500M US-revenue proxy scale (764 employees). Segment additionally requires a US subsidiary/affiliate structure and a recent FDA clearance, US expansion, or new US commercial hire — none of that is verified here; this pull only confirms 'non-US medtech parent of a plausible size', not the US-market trigger itself."
novocure.com,Novocure,https://www.linkedin.com/company/novocure-inc,https://www.novocure.com/,1514,1001-5000,2000,Public Company,Medical Equipment Manufacturing,Baar,Zug,Switzerland,"Novocure is a global oncology company working to extend survival in some of the most aggressive forms of cancer through the development and commercialization of its innovative therapy, Tumor Treating Fields.  Novocure’s commercialized products are approved in certain countries for the treatment of adult patients with glioblastoma, non-small cell lung cancer, malignant pleural mesothelioma and pleural mesothelioma. Novocure has several additional ongoing or completed clinical trials exploring the",The Import Without a Playbook,-,"Matched filter for medtech/diagnostics companies headquartered outside the US (HQ country: Switzerland) at $100M-$500M US-revenue proxy scale (1514 employees). Segment additionally requires a US subsidiary/affiliate structure and a recent FDA clearance, US expansion, or new US commercial hire — none of that is verified here; this pull only confirms 'non-US medtech parent of a plausible size', not the US-market trigger itself."
pentaxmedical.com,PENTAX Medical,https://www.linkedin.com/company/pentax-medical,https://www.pentaxmedical.com/,1063,10001+,-,Public Company,Medical Equipment Manufacturing,Tsutsujigaoka,Aichi Ken,Japan,"PENTAX Medical, a division of the HOYA Group, is a global player in flexible, reusable endoscopy solutions. We develop, manufacture, distribute, and service endoscopic equipment worldwide.  PENTAX Medical is committed to delivering intuitive, flexible endoscopy solutions that empower healthcare professionals to provide outstanding care. Our mission is to maintain product excellence while collaborating closely with clinical partners to understand and address their daily challenges, workflows, and",The Import Without a Playbook,-,"Matched filter for medtech/diagnostics companies headquartered outside the US (HQ country: Japan) at $100M-$500M US-revenue proxy scale (1063 employees). Segment additionally requires a US subsidiary/affiliate structure and a recent FDA clearance, US expansion, or new US commercial hire — none of that is verified here; this pull only confirms 'non-US medtech parent of a plausible size', not the US-market trigger itself."
medela.com,Medela,https://www.linkedin.com/company/medela,http://www.medela.com,1304,1001-5000,1961,Privately Held,Medical Equipment Manufacturing,Baar,Zug,Switzerland,"Through advancing research, observing natural behavior, and listening to our customers, Medela turns science into care while nurturing health for generations. Medela supports millions of moms, babies, patients, and healthcare professionals in more than 100 countries all over the world. As the healthcare choice for more than 6 million hospitals and homes across the globe, Medela provides the leading research-based breast milk feeding products, healthcare solutions for hospitals, and clinical educ",The Import Without a Playbook,-,"Matched filter for medtech/diagnostics companies headquartered outside the US (HQ country: Switzerland) at $100M-$500M US-revenue proxy scale (1304 employees). Segment additionally requires a US subsidiary/affiliate structure and a recent FDA clearance, US expansion, or new US commercial hire — none of that is verified here; this pull only confirms 'non-US medtech parent of a plausible size', not the US-market trigger itself."
stago.com,Stago,https://www.linkedin.com/company/stago-diagnostics-is-in-our-blood,https://www.stago.com/,2047,1001-5000,1945,Privately Held,Medical Equipment Manufacturing,Asnières-sur-Seine,Hauts-de-Seine,France,"Created in 1945 as a pharmaceutical company, Diagnostica Stago is now a world leader in the In-Vitro Diagnostics industry. Global, privately-owned and independent, Stago is fully dedicated to the exploration of Thrombosis and Haemostasis.   Day in and day out, Stago is committed to enhancing the quality of healthcare by offering laboratories advanced testing systems and superior services, the fruit of our expertise and know-how in Haemostasis (reagents, instruments and disposables).  Distributed",The Import Without a Playbook,-,"Matched filter for medtech/diagnostics companies headquartered outside the US (HQ country: France) at $100M-$500M US-revenue proxy scale (2047 employees). Segment additionally requires a US subsidiary/affiliate structure and a recent FDA clearance, US expansion, or new US commercial hire — none of that is verified here; this pull only confirms 'non-US medtech parent of a plausible size', not the US-market trigger itself."
bauschsurgical.eu,Bausch + Lomb Surgical,https://www.linkedin.com/company/bausch-surgical-international,http://www.bauschsurgical.eu,515,201-500,-,Public Company,Medical Equipment Manufacturing,Montpellier,Hérault,France,"At Bausch + Lomb, we empower ophthalmologists to transform patient care. Rooted in over 170 years of innovation, our mission extends beyond products; it's about enhancing patients' vision and lives.   Through the Bausch + Lomb way, driven by our passionate team, we provide solutions that give surgeons an edge in the OR. Our foundation is built on meaningful partnerships, deep understanding of surgical needs, and a commitment to excellence.  As a global community, we invite everyone passionate ab",The Import Without a Playbook,-,"Matched filter for medtech/diagnostics companies headquartered outside the US (HQ country: France) at $100M-$500M US-revenue proxy scale (515 employees). Segment additionally requires a US subsidiary/affiliate structure and a recent FDA clearance, US expansion, or new US commercial hire — none of that is verified here; this pull only confirms 'non-US medtech parent of a plausible size', not the US-market trigger itself."
nemera.net,NEMERA,https://www.linkedin.com/company/nemera,https://www.nemera.net/,1593,1001-5000,-,Privately Held,Medical Equipment Manufacturing,Lyon,Rhône,France,"As a world-leading drug device combination solutions  specialist, our purpose  of putting patients first enables us to design and manufacture devices that  maximize treatment efficacy. We are  the utmost holistic partner and help our customers  succeed in the sprint to market. From early device strategy to state-of-the-art  manufacturing, we're committed to the highest quality standards. Agile and  open-minded, we work with our customers  as colleagues. Together, we  go the extra mile to fulfill",The Import Without a Playbook,-,"Matched filter for medtech/diagnostics companies headquartered outside the US (HQ country: France) at $100M-$500M US-revenue proxy scale (1593 employees). Segment additionally requires a US subsidiary/affiliate structure and a recent FDA clearance, US expansion, or new US commercial hire — none of that is verified here; this pull only confirms 'non-US medtech parent of a plausible size', not the US-market trigger itself."
