segment,name,domain,linkedin,classification,description
Bobcat-like (compact construction equipment),JCB North America,jcb.com,https://www.linkedin.com/company/jcb-north-america,manufacturer - REVIEW,"JCB is a family company founded on October 23rd, 1945, and is now one of the world’s largest privately owned manufacturers of construction, agricultural and defense equipment, with 22 factories around"
Bobcat-like (compact construction equipment),Wacker Neuson,wackerneuson.com,https://www.linkedin.com/company/wackerneuson,manufacturer - REVIEW,"In close cooperation with our customers, we offer products and services that surpass their high standards and fulfill their diverse requirements, while enhancing their capabilities. The trust that our"
Bobcat-like (compact construction equipment),"MacAllister Machinery Co., Inc.",macallister.com,https://www.linkedin.com/company/macallister-machinery-co--inc-,dealer/rental - EXCLUDE,"MacAllister Machinery is a family-owned heavy equipment solutions provider offering new & used sales, rentals, parts, service, and technology across Indiana and Michigan with over 45 locations and gro"
Bobcat-like (compact construction equipment),JCB,jcb.com,https://www.linkedin.com/company/jcb,manufacturer - REVIEW,JCB is one of the largest privately owned engineering and manufacturing companies in the UK and the World's third largest manufacturer of construction machinery. With a global presence and manufacturi
Bobcat-like (compact construction equipment),Holt of California,holtca.com,https://www.linkedin.com/company/holt-of-california,manufacturer - REVIEW,"Holt of California is proud to be part of the elite global network of Caterpillar® dealers. With roots dating back to 1904—when Benjamin Holt invented the first track-type tractor in Stockton, CA—we c"
Bobcat-like (compact construction equipment),BOMAG GmbH,bomag.com,https://www.linkedin.com/company/bomag,manufacturer - REVIEW,"BOMAG is the world market leader in the field of Compaction Technology. The company belongs to the FAYAT GROUP since 2005. BOMAG is a manufacture of machines for the compaction of soils, asphalt and s"
Bobcat-like (compact construction equipment),Redhead Equipment,redheadequipment.ca,https://www.linkedin.com/company/redhead-equipment,manufacturer - REVIEW,"Dedicated to the industry since 1948, Redhead Equipment is one of Saskatchewan’s most diverse and trusted heavy equipment providers. We deliver the most dependable brands of agricultural, construction"
Bobcat-like (compact construction equipment),YANMAR America,yanmar.com,https://www.linkedin.com/company/yanmar-america,manufacturer - REVIEW,"YANMAR America Corporation, located in Adairsville, GA, is the regional headquarters of YANMAR Co., Ltd. a global company based in Osaka, Japan. YANMAR Co. Ltd., was established in 1912, and in 1933 b"
Bobcat-like (compact construction equipment),Wacker Neuson Group,wackerneusongroup.com,https://www.linkedin.com/company/wacker-neuson-group,manufacturer - REVIEW,The Wacker Neuson Group is an internationally operating group of companies with over 50 affiliates and 140 sales and service stations. As a leading manufacturer of construction equipment and compact m
Bobcat-like (compact construction equipment),Komatsu Australia,komatsu.com.au,https://www.linkedin.com/company/komatsu-australia,manufacturer - REVIEW,"Komatsu is an industry-leading manufacturer and supplier of equipment, technologies and services for the construction, forklift, mining, industrial and forestry markets. For over a century, Komatsu eq"
Bobcat-like (compact construction equipment),Kubota Tractor Corporation,kubotausa.com,https://www.linkedin.com/company/kubota-tractor-corporation,manufacturer - REVIEW,"At Kubota Tractor Corporation, we engineer solutions that empower those who shape our world. Our innovative equipment is designed with customer input at every stage, ensuring we deliver the quality, r"
Bobcat-like (compact construction equipment),Komatsu North America,komatsu.com,https://www.linkedin.com/company/komatsunorthamerica,manufacturer - REVIEW,"Komatsu develops and supplies technologies, equipment and services for the construction, mining, forklift, industrial and forestry markets. For more than a century, the company has been creating value"
Bobcat-like (compact construction equipment),Ring Power Cat,ringpower.com,https://www.linkedin.com/company/ringpowercat,dealer/rental - EXCLUDE,"Ring Power Corporation, North and Central Florida’s Cat® dealer, is headquartered in St. Augustine, Florida. Ring Power is comprised of eight divisions and has 60+ years of experience servicing and su"
Bobcat-like (compact construction equipment),Carraro Group,carraro.com,https://www.linkedin.com/company/carraro-spa,manufacturer - REVIEW,Carraro (www.carraro.com) is a leading international Group in transmission systems for off-highway vehicles and specialised tractors. The Group’s activities are divided into two Business Areas:   - Tr
Bobcat-like (compact construction equipment),Thompson Tractor Company,thompsontractor.com,https://www.linkedin.com/company/thompsontractor,manufacturer - REVIEW,"Thompson Tractor Company, Inc. specializes in the sales, rental, leasing, service and parts for earthmoving, construction and material-handling equipment, and diesel engines used for electric power ge"
Bobcat-like (compact construction equipment),Linamar Corporation,linamar.com,https://www.linkedin.com/company/linamar,manufacturer - REVIEW,"Linamar Corporation (TSX:LNR) is an advanced manufacturing company where the intersection of leading-edge technology and deep manufacturing expertise is creating solutions that power vehicles, motion,"
Bobcat-like (compact construction equipment),John Deere,deere.com,https://www.linkedin.com/company/john-deere,manufacturer - REVIEW,"It doesn’t matter if you’ve never driven a tractor, mowed a lawn, or operated a dozer. With John Deere’s role in helping produce food, fiber, fuel, and infrastructure, we work for every single person "
Bobcat-like (compact construction equipment),MANITOU Group,manitou-group.com,https://www.linkedin.com/company/manitougroup,manufacturer - REVIEW,"Commitment, reliability, passion. Our 3 core values to help you Set your future in motion."
Bobcat-like (compact construction equipment),Empire Cat,empirecat.com,https://www.linkedin.com/company/empire-southwest,dealer/rental - EXCLUDE,"MORE THAN GREAT MACHINES®  Empire Southwest is a top authorized Caterpillar® dealer for heavy equipment and power generation throughout Arizona, Nevada, and Southeastern California.  In addition, Empi"
Bobcat-like (compact construction equipment),The Toro Company,thetorocompany.com,https://www.linkedin.com/company/the-toro-company,manufacturer - REVIEW,"The Toro Company represents a portfolio of global brands spanning various markets, industries and geographies with over a century of deep knowledge in transforming how jobs get done. We deliver market"
Bobcat-like (compact construction equipment),Carter Machinery,cartermachinery.com,https://www.linkedin.com/company/carter-machinery,"contractor/producer (Astec CUSTOMER, not lookalike) - EXCLUDE","Founded in 1952, Carter Machinery is the authorized Caterpillar dealer serving Virginia, West Virginia, Maryland, Delaware and Washington D.C. through a network of more than 30 locations and 3,000 emp"
Bobcat-like (compact construction equipment),AGCO Corporation,agcocorp.com,https://www.linkedin.com/company/agco-corporation,manufacturer - REVIEW,"AGCO (NYSE: AGCO) is a global leader in the design, manufacture and distribution of agricultural machinery and precision ag technology. AGCO delivers value to farmers and OEM customers through its dif"
Bobcat-like (compact construction equipment),Altec,altec.com,https://www.linkedin.com/company/altec,manufacturer - REVIEW,"Altec is a leading provider of products and services to the electric utility, tree care, telecommunications and lights and signs markets. We help customers dig deeper and reach higher in over 100 coun"
Bobcat-like (compact construction equipment),Caterpillar Inc.,caterpillar.com,https://www.linkedin.com/company/caterpillar-inc,dealer/rental - EXCLUDE,"For 100 years, we’ve been helping customers build a better, more sustainable world. Our innovative products and services, backed by our global dealer network, provide exceptional value that helps cust"
Bobcat-like (compact construction equipment),Wagner Equipment,wagnerequipment.com,https://www.linkedin.com/company/wagner-equipment,dealer/rental - EXCLUDE,"Wagner Equipment Co. is committed to meet your total earthmoving equipment needs. We offer you quality Caterpillar machines and engines, and also carry agriculture equipment, crushing and screening eq"
Bobcat-like (compact construction equipment),KUBOTA Manufacturing of America,kubota-kma.com,https://www.linkedin.com/company/kubota-manufacturing-of-america-corp,manufacturer - REVIEW,"Established in 1988, Kubota Manufacturing of America Corporation (KMA) is headquartered in Gainesville, Georgia, a thriving industrial and agricultural community located on Lake Sidney Lanier and the "
Bobcat-like (compact construction equipment),Finning,finning.com,https://www.linkedin.com/company/finning,manufacturer - REVIEW,"Finning is the world's largest Caterpillar dealer delivering unrivalled service for over 90 years. We sell, rent and provide parts and service for equipment and engines to customers in various industr"
Bobcat-like (compact construction equipment),Gregory Poole Equipment Company,gregorypoole.com,https://www.linkedin.com/company/gregory-poole-equipment-company,dealer/rental - EXCLUDE,"Gregory Poole Equipment Company was founded by James Gregory Poole, Sr., and his uncle, William Lewis Gregory on April 1, 1951. With headquarters in Raleigh, North Carolina, Gregory Poole became the C"
Bobcat-like (compact construction equipment),Arnold Machinery Company,arnoldmachinery.com,https://www.linkedin.com/company/arnold-machinery-company,dealer/rental - EXCLUDE,"Arnold Machinery Company is a leading equipment distributor for the mining, construction, material handling and agricultural implement industries. We sell, service and rent equipment in 21 cities that"
